,date,pH,electrical_conductivity_dS_m,nitrate_input_mg_L,fertilizer_kg_ha,manure_kg_ha,ammonium_mg_L,chloride_mg_L,crop_type,livestock_density_LU_ha,urbanization,soil_type,aquifer_type,permeability_m_day,groundwater_level_cm,precipitation_mm,drought_days,evaporation_mm,nitrate_groundwater_mg_L,Aluminum (AL),Arsenic (AS),Barium (BA),Calcium (CA),Cadmium (CD),Chloride (CL),Copper (CU),Electrical Conductivity (EC),pH (Lab),Potassium (K),Magnesium (MG),Manganese (MN),Sodium (NA),Ammonium (NH4-N),Nitrate (NO3-N),Total Phosphorus (PTOT-P),Phosphate (PO4-P),Lead (PB),Zinc (ZN),sunlight_hours,humidity_percent,temperature_celsius
40,2020-06-18,5.29,1.54,76.42,122.82,124.41,4.52,41.98,grass,1.93,medium,loess,unconfined,5.01,80.13,62.86,52,50.05,11.55,10.0,3.062,52.886,69.828,0.05,4886.957,0.5,1631.0,7.36,112.777,217.186,0.037,3420.645,9.347,0.029,7.86,,0.2,4.0,8.1,61.94,24.89
41,2020-06-18,5.29,1.54,76.42,122.82,124.41,4.52,41.98,grass,1.93,medium,loess,unconfined,5.01,80.13,62.86,52,50.05,11.55,10.0,0.585,33.261,129.244,0.05,75.626,0.5,89.5,7.15,3.083,10.618,0.128,60.65,0.133,0.029,0.08,,0.2,4.0,9.71,59.39,21.05
42,2020-06-18,5.29,1.54,76.42,122.82,124.41,4.52,41.98,grass,1.93,medium,loess,unconfined,5.01,80.13,62.86,52,50.05,11.55,10.0,0.2,24.92,114.98,0.05,39.978,0.5,69.7,7.32,10.357,9.316,0.143,23.469,0.797,0.029,0.139,,0.2,4.0,11.66,51.7,20.0
43,2022-10-10,6.73,1.46,84.27,200.03,170.63,3.85,83.08,wheat,1.05,medium,loess,confined,6.67,134.11,87.21,17,58.87,27.95,,,,,,,,,,,,,,,,,,,,4.67,83.47,11.09
44,2023-04-26,5.89,1.18,44.1,187.16,76.78,3.37,66.49,potatoes,2.83,medium,clay,confined,0.64,61.21,121.79,12,84.23,17.22,25.004,1.231,14.065,39.698,0.05,2170.309,0.5,792.0,7.6,60.918,99.203,0.109,1858.487,5.717,0.029,8.129,,0.2,4.0,8.74,69.91,13.34
45,2023-04-26,5.89,1.18,44.1,187.16,76.78,3.37,66.49,potatoes,2.83,medium,clay,confined,0.64,61.21,121.79,12,84.23,17.22,10.0,0.2,6.516,135.605,0.05,54.614,0.5,86.4,7.54,16.26,12.744,0.182,32.783,0.715,0.029,0.216,,0.2,4.0,7.23,82.17,12.07
46,2023-04-26,5.89,1.18,44.1,187.16,76.78,3.37,66.49,potatoes,2.83,medium,clay,confined,0.64,61.21,121.79,12,84.23,17.22,10.0,5.472,111.33,97.701,0.05,199.697,0.5,194.5,6.74,16.651,47.397,0.776,268.084,18.075,0.029,2.543,,0.2,7.175,5.2,84.64,8.06
47,2023-04-26,5.89,1.18,44.1,187.16,76.78,3.37,66.49,potatoes,2.83,medium,clay,confined,0.64,61.21,121.79,12,84.23,17.22,10.0,1.618,171.259,87.341,0.05,602.349,0.5,332.0,7.13,16.566,42.0,0.337,696.418,5.003,0.029,1.495,,0.2,4.0,6.82,80.33,11.77
48,2024-12-30,6.03,1.41,42.98,134.55,112.11,4.65,64.79,wheat,4.68,low,clay,confined,7.75,96.77,72.95,12,38.4,13.17,,,,,,,,,,,,,,,,,,,,1.78,89.94,3.17
49,2022-04-10,5.29,1.02,33.27,128.91,140.18,3.53,58.15,maize,2.9,low,clay,unconfined,7.39,47.59,55.88,54,76.72,5.49,,,,,,,,,,,,,,,,,,,,5.09,67.53,11.27
50,2020-04-18,5.73,1.23,21.31,204.86,62.68,3.27,56.21,sugar beet,4.45,medium,loess,unconfined,1.23,73.63,146.09,18,91.42,14.16,,,,,,,,,,,,,,,,,,,,7.92,74.92,13.85
51,2021-08-10,6.06,1.44,67.5,161.6,107.12,3.22,40.64,wheat,3.53,medium,loess,confined,4.72,113.77,105.03,33,80.82,10.34,,,,,,,,,,,,,,,,,,,,11.16,64.25,19.0
52,2024-03-14,5.42,1.07,77.47,202.23,174.89,3.34,38.84,maize,0.6,medium,loess,unconfined,4.1,75.5,121.62,14,60.09,26.07,,,,,,,,,,,,,,,,,,,,6.34,66.23,14.38
53,2024-06-10,6.19,0.92,22.13,30.55,86.39,3.48,66.12,wheat,3.51,low,clay,unconfined,5.02,63.65,98.22,5,82.93,5.42,,,,,,,,,,,,,,,,,,,,11.72,65.64,23.88
54,2024-04-26,5.7,0.49,38.34,154.92,142.73,5.8,39.21,grass,3.03,low,clay,confined,0.93,107.75,127.23,54,69.4,18.22,,,,,,,,,,,,,,,,,,,,5.63,65.32,12.98
55,2023-05-01,5.85,0.98,31.0,71.13,94.35,1.08,55.68,wheat,1.8,medium,loess,confined,2.48,120.99,87.94,21,75.77,21.66,142.991,0.815,50.75,22.113,0.05,23.212,0.5,25.7,5.97,2.651,4.747,0.132,15.706,4.271,0.029,0.05,,0.2,12.508,6.78,73.71,10.68
56,2023-05-01,5.85,0.98,31.0,71.13,94.35,1.08,55.68,wheat,1.8,medium,loess,confined,2.48,120.99,87.94,21,75.77,21.66,22.198,1.538,75.234,6.7,0.05,181.227,0.5,66.7,5.32,7.368,2.027,0.222,111.696,0.179,1.909,0.146,,0.2,6.55,5.83,74.37,10.23
57,2023-05-01,5.85,0.98,31.0,71.13,94.35,1.08,55.68,wheat,1.8,medium,loess,confined,2.48,120.99,87.94,21,75.77,21.66,10.0,1.059,38.199,27.776,0.05,39.096,0.5,38.0,6.26,1.954,3.392,0.119,47.356,0.164,0.029,0.116,,0.2,4.0,7.7,66.72,14.41
58,2023-05-01,5.85,0.98,31.0,71.13,94.35,1.08,55.68,wheat,1.8,medium,loess,confined,2.48,120.99,87.94,21,75.77,21.66,1373.921,8.246,63.406,6.7,0.05,12.481,0.5,,5.32,2.563,4.195,0.112,8.094,0.538,0.029,0.059,,0.368,18.816,7.33,79.76,14.95
59,2023-05-01,5.85,0.98,31.0,71.13,94.35,1.08,55.68,wheat,1.8,medium,loess,confined,2.48,120.99,87.94,21,75.77,21.66,163.143,0.225,18.298,6.7,0.05,22.262,0.5,18.8,5.61,1.081,1.737,0.115,17.111,5.374,0.029,0.117,,0.2,4.0,5.81,79.62,14.13
60,2020-06-14,5.7,1.25,31.6,148.71,171.98,3.6,53.03,potatoes,4.77,medium,sand,unconfined,9.98,108.01,130.23,54,100.84,11.59,,,,,,,,,,,,,,,,,,,,10.0,59.06,19.69
61,2020-09-19,6.93,1.28,63.72,185.69,34.18,4.8,93.84,potatoes,1.65,low,sand,confined,6.23,57.77,59.36,2,87.59,16.34,,,,,,,,,,,,,,,,,,,,4.74,76.78,10.94
62,2020-11-28,5.99,1.15,13.76,236.96,102.6,7.3,46.79,grass,0.42,low,sand,unconfined,6.54,123.1,108.55,57,32.87,9.36,,,,,,,,,,,,,,,,,,,,3.86,87.26,11.56
63,2024-03-14,5.47,0.84,49.33,103.09,40.85,4.51,73.37,sugar beet,1.24,low,clay,unconfined,5.97,119.99,86.54,46,74.64,11.84,,,,,,,,,,,,,,,,,,,,7.63,66.38,12.16
64,2022-08-21,6.41,0.41,54.56,123.71,71.96,4.69,64.15,potatoes,2.18,low,clay,unconfined,7.37,142.86,62.17,33,61.26,7.77,,,,,,,,,,,,,,,,,,,,8.4,66.47,18.1
65,2024-05-09,5.39,0.85,37.16,145.22,71.73,4.82,47.66,wheat,4.45,low,peat,unconfined,7.83,133.84,113.59,50,51.89,7.0,,,,,,,,,,,,,,,,,,,,7.17,70.22,8.75
66,2021-03-16,6.1,0.91,57.86,101.27,89.32,1.35,25.12,potatoes,0.14,low,sand,unconfined,0.21,78.04,101.56,37,60.28,12.96,,,,,,,,,,,,,,,,,,,,7.11,66.07,12.59
67,2024-01-25,5.02,0.91,42.95,198.93,52.47,6.32,48.94,grass,3.99,medium,loess,confined,4.26,85.39,99.65,30,81.34,16.91,,,,,,,,,,,,,,,,,,,,2.84,91.49,4.37
68,2020-03-10,5.34,1.19,64.34,146.5,97.13,6.23,67.98,sugar beet,1.38,medium,clay,confined,9.71,66.23,69.5,45,74.12,6.32,,,,,,,,,,,,,,,,,,,,7.57,75.43,10.6
69,2022-07-12,6.1,1.6,9.56,156.1,118.42,6.63,25.5,grass,3.01,low,loess,unconfined,6.58,68.75,97.45,59,72.75,6.17,10.0,0.2,4.853,20.481,0.05,3.2,0.5,13.7,8.42,0.53,2.709,0.004,4.3,0.068,0.319,0.05,,0.2,4.0,11.76,66.62,18.15
70,2022-07-12,6.1,1.6,9.56,156.1,118.42,6.63,25.5,grass,3.01,low,loess,unconfined,6.58,68.75,97.45,59,72.75,6.17,10.0,,146.539,97.947,0.05,24.57,0.5,70.3,7.03,18.44,15.286,0.199,19.197,0.649,0.029,0.05,,0.2,4.0,10.17,63.66,19.59
71,2022-07-12,6.1,1.6,9.56,156.1,118.42,6.63,25.5,grass,3.01,low,loess,unconfined,6.58,68.75,97.45,59,72.75,6.17,10.0,3.251,109.748,112.078,0.05,83.423,0.5,90.4,7.15,21.949,14.116,1.99,51.095,0.172,0.029,0.05,,0.2,4.0,8.25,67.5,22.95
72,2022-07-12,6.1,1.6,9.56,156.1,118.42,6.63,25.5,grass,3.01,low,loess,unconfined,6.58,68.75,97.45,59,72.75,6.17,10.0,2.472,99.683,155.581,0.05,57.689,0.5,96.3,6.97,3.26,12.342,0.402,47.154,0.549,0.029,0.341,,0.2,4.0,9.29,69.77,24.37
73,2022-07-12,6.1,1.6,9.56,156.1,118.42,6.63,25.5,grass,3.01,low,loess,unconfined,6.58,68.75,97.45,59,72.75,6.17,10.0,,41.856,93.11,0.05,31.996,0.5,57.1,6.92,1.989,6.003,0.212,14.711,0.681,0.029,0.05,,0.2,4.0,9.83,54.01,20.52
74,2022-07-12,6.1,1.6,9.56,156.1,118.42,6.63,25.5,grass,3.01,low,loess,unconfined,6.58,68.75,97.45,59,72.75,6.17,10.0,1.609,55.509,129.393,0.05,38.135,0.5,80.6,7.13,4.137,9.773,0.391,32.939,0.785,0.029,0.146,,0.2,4.0,8.09,58.13,22.82
75,2022-07-12,6.1,1.6,9.56,156.1,118.42,6.63,25.5,grass,3.01,low,loess,unconfined,6.58,68.75,97.45,59,72.75,6.17,10.0,5.166,153.791,169.689,0.05,35.145,0.5,95.6,6.99,1.932,13.645,0.517,28.079,0.593,0.029,0.194,,0.2,4.0,9.99,62.3,19.71
76,2021-08-01,6.37,1.04,33.02,181.01,38.72,10.01,66.71,wheat,1.89,low,peat,unconfined,8.92,81.3,37.04,22,107.9,5.79,,,,,,,,,,,,,,,,,,,,8.94,68.97,22.24
77,2022-06-23,6.09,0.93,38.56,146.41,74.6,2.4,76.86,potatoes,1.32,high,loess,confined,3.85,118.88,40.09,53,67.95,13.95,,,,,,,,,,,,,,,,,,,,8.59,53.71,20.89
78,2022-01-26,5.94,0.92,0.0,109.12,201.64,2.02,51.92,wheat,2.54,medium,peat,unconfined,1.21,78.84,126.07,0,70.58,7.56,,,,,,,,,,,,,,,,,,,,2.49,90.64,1.46
79,2021-11-17,5.85,1.04,18.28,146.85,113.17,6.41,68.27,potatoes,1.87,low,peat,unconfined,1.79,113.81,87.67,2,42.92,18.04,,,,,,,,,,,,,,,,,,,,5.57,83.83,9.06
80,2024-02-17,5.26,0.75,23.73,107.19,27.29,4.33,52.81,potatoes,1.97,low,clay,unconfined,3.47,64.9,64.58,46,77.97,9.48,,,,,,,,,,,,,,,,,,,,2.17,89.37,1.15
81,2022-12-03,5.64,1.04,58.96,155.4,43.98,3.03,61.43,maize,0.81,low,sand,unconfined,9.51,89.67,82.82,5,78.1,19.64,,,,,,,,,,,,,,,,,,,,2.52,85.93,1.99
82,2024-05-03,5.77,1.14,25.86,199.85,109.04,4.43,79.87,grass,0.71,high,loess,unconfined,9.69,90.5,103.05,27,86.62,17.72,,,,,,,,,,,,,,,,,,,,8.75,76.51,14.93
83,2020-10-09,6.53,1.06,23.64,91.25,104.03,3.76,18.92,maize,1.31,low,clay,unconfined,8.63,35.37,118.53,5,53.58,19.4,,,,,,,,,,,,,,,,,,,,5.69,87.27,11.38
84,2020-06-21,6.17,1.14,56.35,73.38,76.5,8.45,34.7,wheat,2.94,low,clay,confined,5.64,105.37,97.36,51,64.25,9.57,,,,,,,,,,,,,,,,,,,,10.31,67.77,18.06
85,2024-07-28,5.12,1.13,7.64,152.46,187.73,9.52,75.01,wheat,1.17,low,sand,confined,5.66,55.22,84.12,25,62.65,7.18,,,,,,,,,,,,,,,,,,,,10.3,50.54,18.16
86,2021-10-14,6.16,0.47,0.0,111.61,204.75,1.73,78.7,sugar beet,3.87,high,sand,confined,8.37,75.29,36.81,24,76.56,5.46,,,,,,,,,,,,,,,,,,,,4.63,83.17,10.76
87,2023-07-30,5.81,1.19,32.77,151.59,89.42,2.05,21.84,potatoes,4.07,low,peat,confined,0.66,48.18,52.66,8,73.64,17.47,,,,,,,,,,,,,,,,,,,,9.55,62.54,21.57
88,2021-05-13,5.66,0.8,11.05,166.02,134.92,3.48,81.25,maize,0.81,low,clay,unconfined,4.27,139.87,66.57,14,68.63,13.32,,,,,,,,,,,,,,,,,,,,7.66,83.8,9.77
89,2022-11-25,6.31,0.67,11.81,42.82,136.93,3.62,-1.44,sugar beet,4.88,high,sand,unconfined,6.3,88.7,55.56,32,67.82,7.26,,,,,,,,,,,,,,,,,,,,3.26,80.39,10.68
90,2024-03-26,6.52,0.67,51.47,184.49,142.23,3.45,62.51,maize,1.33,medium,sand,unconfined,1.05,51.49,75.62,33,65.33,22.78,,,,,,,,,,,,,,,,,,,,8.57,82.01,8.04
91,2021-05-15,6.47,1.13,57.52,91.52,74.4,4.61,54.38,wheat,0.36,low,loess,unconfined,0.95,131.81,137.68,21,70.94,17.99,,,,,,,,,,,,,,,,,,,,6.56,74.77,9.96
92,2020-10-23,5.58,0.93,55.78,148.88,177.58,4.11,35.34,sugar beet,2.19,high,peat,confined,2.4,82.51,54.82,16,57.23,10.49,,,,,,,,,,,,,,,,,,,,5.05,79.47,10.91
93,2022-07-29,5.85,0.5,62.18,117.03,97.26,2.29,36.57,grass,0.91,low,loess,confined,5.89,123.64,80.0,6,56.12,7.23,,,,,,,,,,,,,,,,,,,,11.77,54.21,20.54
94,2021-06-26,6.17,1.14,64.82,122.4,116.88,2.95,37.31,sugar beet,3.92,medium,clay,confined,8.39,65.1,29.9,16,71.86,14.56,,,,,,,,,,,,,,,,,,,,11.34,69.45,19.96
95,2020-03-01,6.49,0.57,0.0,234.7,100.08,8.09,45.92,potatoes,0.57,medium,sand,confined,6.05,128.73,58.92,5,67.19,12.24,,,,,,,,,,,,,,,,,,,,7.37,83.31,13.74
96,2022-03-06,5.76,1.04,49.01,165.96,94.41,4.29,89.72,wheat,2.42,low,clay,confined,6.68,123.1,65.51,14,75.84,14.13,,,,,,,,,,,,,,,,,,,,6.96,83.81,9.61
97,2024-09-14,5.91,1.07,29.41,195.23,111.14,4.18,66.46,grass,0.42,medium,loess,confined,3.27,95.04,87.59,4,48.35,18.03,,,,,,,,,,,,,,,,,,,,5.94,79.38,10.55
98,2023-06-24,5.45,1.27,25.05,157.55,52.56,1.96,78.69,wheat,4.49,medium,sand,unconfined,4.12,53.63,79.33,58,71.82,7.27,,,,,,,,,,,,,,,,,,,,11.99,66.73,18.58
99,2024-09-14,5.4,1.53,51.21,181.0,21.15,4.07,43.56,potatoes,1.54,medium,clay,unconfined,7.88,93.53,119.76,4,60.96,16.52,,,,,,,,,,,,,,,,,,,,3.18,82.59,10.68
