date;pH;electrical_conductivity_dS_m;nitrate_input_mg_L;fertilizer_kg_ha;manure_kg_ha;ammonium_mg_L;chloride_mg_L;crop_type;livestock_density_LU_ha;urbanization;soil_type;aquifer_type;permeability_m_day;groundwater_level_cm;precipitation_mm;drought_days;evaporation_mm;nitrate_groundwater_mg_L
18-6-2020;5.29;1.54;76.42;122.82;124.41;4.52;41.98;grass;1.93;medium;loess;unconfined;5.01;80.13;62.86;52;50.05;11.55
10-10-2022;6.73;1.46;84.27;200.03;170.63;3.85;83.08;wheat;1.05;medium;loess;confined;6.67;134.11;87.21;17;58.87;27.95
26-4-2023;5.89;1.18;44.1;187.16;76.78;3.37;66.49;potatoes;2.83;medium;clay;confined;0.64;61.21;121.79;12;84.23;17.22
30-12-2024;6.03;1.41;42.98;134.55;112.11;4.65;64.79;wheat;4.68;low;clay;confined;7.75;96.77;72.95;12;38.4;13.17
4-10-2022;5.29;1.02;33.27;128.91;140.18;3.53;58.15;maize;2.9;low;clay;unconfined;7.39;47.59;55.88;54;76.72;5.49
18-4-2020;5.73;1.23;21.31;204.86;62.68;3.27;56.21;sugar beet;4.45;medium;loess;unconfined;1.23;73.63;146.09;18;91.42;14.16
8-10-2021;6.06;1.44;67.5;161.6;107.12;3.22;40.64;wheat;3.53;medium;loess;confined;4.72;113.77;105.03;33;80.82;10.34
14-3-2024;5.42;1.07;77.47;202.23;174.89;3.34;38.84;maize;0.6;medium;loess;unconfined;4.1;75.5;121.62;14;60.09;26.07
6-10-2024;6.19;0.92;22.13;30.55;86.39;3.48;66.12;wheat;3.51;low;clay;unconfined;5.02;63.65;98.22;5;82.93;5.42
26-4-2024;5.7;0.49;38.34;154.92;142.73;5.8;39.21;grass;3.03;low;clay;confined;0.93;107.75;127.23;54;69.4;18.22
5-1-2023;5.85;0.98;31.0;71.13;94.35;1.08;55.68;wheat;1.8;medium;loess;confined;2.48;120.99;87.94;21;75.77;21.66
14-6-2020;5.7;1.25;31.6;148.71;171.98;3.6;53.03;potatoes;4.77;medium;sand;unconfined;9.98;108.01;130.23;54;100.84;11.59
19-9-2020;6.93;1.28;63.72;185.69;34.18;4.8;93.84;potatoes;1.65;low;sand;confined;6.23;57.77;59.36;2;87.59;16.34
28-11-2020;5.99;1.15;13.76;236.96;102.6;7.3;46.79;grass;0.42;low;sand;unconfined;6.54;123.1;108.55;57;32.87;9.36
14-3-2024;5.47;0.84;49.33;103.09;40.85;4.51;73.37;sugar beet;1.24;low;clay;unconfined;5.97;119.99;86.54;46;74.64;11.84
21-8-2022;6.41;0.41;54.56;123.71;71.96;4.69;64.15;potatoes;2.18;low;clay;unconfined;7.37;142.86;62.17;33;61.26;7.77
5-9-2024;5.39;0.85;37.16;145.22;71.73;4.82;47.66;wheat;4.45;low;peat;unconfined;7.83;133.84;113.59;50;51.89;7.0
16-3-2021;6.1;0.91;57.86;101.27;89.32;1.35;25.12;potatoes;0.14;low;sand;unconfined;0.21;78.04;101.56;37;60.28;12.96
25-1-2024;5.02;0.91;42.95;198.93;52.47;6.32;48.94;grass;3.99;medium;loess;confined;4.26;85.39;99.65;30;81.34;16.91
3-10-2020;5.34;1.19;64.34;146.5;97.13;6.23;67.98;sugar beet;1.38;medium;clay;confined;9.71;66.23;69.5;45;74.12;6.32
7-12-2022;6.1;1.6;9.56;156.1;118.42;6.63;25.5;grass;3.01;low;loess;unconfined;6.58;68.75;97.45;59;72.75;6.17
8-1-2021;6.37;1.04;33.02;181.01;38.72;10.01;66.71;wheat;1.89;low;peat;unconfined;8.92;81.3;37.04;22;107.9;5.79
23-6-2022;6.09;0.93;38.56;146.41;74.6;2.4;76.86;potatoes;1.32;high;loess;confined;3.85;118.88;40.09;53;67.95;13.95
26-1-2022;5.94;0.92;0.0;109.12;201.64;2.02;51.92;wheat;2.54;medium;peat;unconfined;1.21;78.84;126.07;0;70.58;7.56
17-11-2021;5.85;1.04;18.28;146.85;113.17;6.41;68.27;potatoes;1.87;low;peat;unconfined;1.79;113.81;87.67;2;42.92;18.04
17-2-2024;5.26;0.75;23.73;107.19;27.29;4.33;52.81;potatoes;1.97;low;clay;unconfined;3.47;64.9;64.58;46;77.97;9.48
12-3-2022;5.64;1.04;58.96;155.4;43.98;3.03;61.43;maize;0.81;low;sand;unconfined;9.51;89.67;82.82;5;78.1;19.64
5-3-2024;5.77;1.14;25.86;199.85;109.04;4.43;79.87;grass;0.71;high;loess;unconfined;9.69;90.5;103.05;27;86.62;17.72
10-9-2020;6.53;1.06;23.64;91.25;104.03;3.76;18.92;maize;1.31;low;clay;unconfined;8.63;35.37;118.53;5;53.58;19.4
21-6-2020;6.17;1.14;56.35;73.38;76.5;8.45;34.7;wheat;2.94;low;clay;confined;5.64;105.37;97.36;51;64.25;9.57
28-7-2024;5.12;1.13;7.64;152.46;187.73;9.52;75.01;wheat;1.17;low;sand;confined;5.66;55.22;84.12;25;62.65;7.18
14-10-2021;6.16;0.47;0.0;111.61;204.75;1.73;78.7;sugar beet;3.87;high;sand;confined;8.37;75.29;36.81;24;76.56;5.46
30-7-2023;5.81;1.19;32.77;151.59;89.42;2.05;21.84;potatoes;4.07;low;peat;confined;0.66;48.18;52.66;8;73.64;17.47
13-5-2021;5.66;0.8;11.05;166.02;134.92;3.48;81.25;maize;0.81;low;clay;unconfined;4.27;139.87;66.57;14;68.63;13.32
25-11-2022;6.31;0.67;11.81;42.82;136.93;3.62;-1.44;sugar beet;4.88;high;sand;unconfined;6.3;88.7;55.56;32;67.82;7.26
26-3-2024;6.52;0.67;51.47;184.49;142.23;3.45;62.51;maize;1.33;medium;sand;unconfined;1.05;51.49;75.62;33;65.33;22.78
15-5-2021;6.47;1.13;57.52;91.52;74.4;4.61;54.38;wheat;0.36;low;loess;unconfined;0.95;131.81;137.68;21;70.94;17.99
23-10-2020;5.58;0.93;55.78;148.88;177.58;4.11;35.34;sugar beet;2.19;high;peat;confined;2.4;82.51;54.82;16;57.23;10.49
29-7-2022;5.85;0.5;62.18;117.03;97.26;2.29;36.57;grass;0.91;low;loess;confined;5.89;123.64;80.0;6;56.12;7.23
26-6-2021;6.17;1.14;64.82;122.4;116.88;2.95;37.31;sugar beet;3.92;medium;clay;confined;8.39;65.1;29.9;16;71.86;14.56
3-1-2020;6.49;0.57;0.0;234.7;100.08;8.09;45.92;potatoes;0.57;medium;sand;confined;6.05;128.73;58.92;5;67.19;12.24
3-6-2022;5.76;1.04;49.01;165.96;94.41;4.29;89.72;wheat;2.42;low;clay;confined;6.68;123.1;65.51;14;75.84;14.13
14-9-2024;5.91;1.07;29.41;195.23;111.14;4.18;66.46;grass;0.42;medium;loess;confined;3.27;95.04;87.59;4;48.35;18.03
24-6-2023;5.45;1.27;25.05;157.55;52.56;1.96;78.69;wheat;4.49;medium;sand;unconfined;4.12;53.63;79.33;58;71.82;7.27
14-9-2024;5.4;1.53;51.21;181.0;21.15;4.07;43.56;potatoes;1.54;medium;clay;unconfined;7.88;93.53;119.76;4;60.96;16.52
25-5-2020;6.41;0.59;5.39;170.87;91.46;6.92;54.61;wheat;3.08;medium;peat;unconfined;7.83;128.32;79.14;38;86.67;13.36
8-7-2020;6.68;0.98;4.98;162.72;64.78;6.19;28.57;grass;3.65;low;peat;unconfined;9.9;125.43;115.83;24;50.92;0.0
31-8-2022;5.96;0.92;52.67;205.36;121.9;6.62;44.43;sugar beet;0.16;low;sand;unconfined;0.17;73.64;102.21;18;71.14;15.2
6-8-2022;6.5;1.13;49.76;157.83;117.35;2.59;38.95;sugar beet;1.91;low;sand;unconfined;7.14;80.49;72.89;39;77.71;7.25
24-1-2021;6.18;1.06;42.73;264.26;100.54;2.56;59.77;sugar beet;1.42;low;clay;unconfined;9.72;121.8;68.45;30;53.86;15.92
21-8-2021;5.68;0.89;22.4;198.03;159.26;7.27;35.86;grass;2.73;medium;sand;unconfined;9.13;102.8;62.88;1;80.67;19.07
3-10-2021;6.18;0.87;54.88;93.02;99.75;6.65;33.26;sugar beet;3.85;low;peat;unconfined;3.71;53.12;70.39;21;67.77;7.86
22-7-2021;6.77;0.67;53.61;141.17;41.67;4.48;57.93;maize;0.65;low;peat;unconfined;4.79;112.18;94.64;7;85.43;14.34
20-11-2022;5.98;1.3;41.71;169.85;91.05;6.71;48.93;maize;2.38;low;sand;unconfined;4.82;141.11;91.49;28;81.34;13.99
11-1-2020;6.78;1.14;16.45;152.22;146.84;2.59;35.99;sugar beet;0.65;low;sand;confined;6.24;84.36;68.25;12;46.62;7.16
24-11-2024;4.69;1.28;31.5;184.34;24.63;2.51;33.07;potatoes;3.95;low;peat;confined;3.96;55.92;104.73;7;64.84;12.52
6-1-2022;6.41;0.91;56.76;189.85;96.24;1.77;35.98;grass;3.93;low;sand;unconfined;1.42;101.45;76.09;52;87.18;15.09
9-7-2024;6.04;0.8;66.54;82.02;123.02;5.72;66.29;potatoes;1.65;medium;clay;unconfined;8.43;132.55;98.65;58;78.97;14.99
2-6-2023;5.85;0.68;33.47;214.05;206.09;5.43;58.35;wheat;1.64;medium;loess;unconfined;5.73;132.32;37.13;10;73.54;13.45
13-11-2024;6.05;1.11;35.01;125.16;148.33;3.96;34.9;potatoes;3.0;low;peat;confined;9.57;87.72;101.94;24;63.89;13.35
22-2-2021;5.01;0.69;36.77;120.2;105.3;3.44;35.69;potatoes;4.99;low;peat;unconfined;2.75;169.19;67.28;17;84.79;13.96
7-10-2024;5.89;1.55;45.5;120.04;120.83;9.83;27.05;potatoes;4.9;medium;sand;unconfined;5.88;96.29;50.43;16;52.63;24.33
19-7-2022;6.18;0.61;28.38;190.43;24.09;4.48;42.13;sugar beet;1.58;low;loess;confined;1.01;84.07;52.24;33;76.15;8.03
25-12-2022;6.74;1.08;0.0;136.65;58.01;7.78;52.46;wheat;4.15;high;loess;unconfined;2.21;120.77;135.87;51;65.86;7.06
15-2-2024;5.74;1.47;63.86;116.82;126.04;4.71;32.42;wheat;1.58;low;sand;unconfined;7.26;100.0;101.73;14;79.75;27.73
15-9-2020;5.6;1.18;75.89;128.8;106.45;4.0;93.75;sugar beet;2.56;low;sand;unconfined;6.01;168.26;91.92;21;112.42;19.07
20-6-2024;5.75;1.05;27.75;60.27;111.55;7.83;62.48;maize;0.16;medium;loess;unconfined;9.82;131.2;68.82;55;99.55;2.22
5-7-2021;6.46;0.71;18.67;107.89;101.36;6.58;49.36;maize;4.7;low;peat;unconfined;3.57;120.11;88.32;40;63.18;0.0
3-9-2022;6.16;0.59;37.26;88.02;99.8;4.95;51.7;wheat;3.67;medium;loess;confined;5.31;106.35;98.54;44;86.87;12.65
18-6-2023;5.74;1.23;36.25;136.54;104.12;7.27;22.17;grass;4.33;low;peat;unconfined;9.99;122.9;60.16;33;66.72;10.36
31-10-2021;6.26;1.45;59.91;183.21;57.76;10.04;26.02;sugar beet;2.79;medium;sand;unconfined;0.5;94.17;65.01;16;43.18;13.38
27-5-2021;6.05;0.87;41.09;177.69;90.84;3.54;76.46;potatoes;0.33;medium;loess;unconfined;6.09;81.16;151.91;8;56.97;18.4
29-2-2020;6.48;0.66;24.15;212.84;50.24;5.94;82.7;grass;2.2;high;clay;confined;9.77;103.45;115.65;44;65.8;10.77
6-5-2021;5.65;0.26;13.63;201.7;75.22;4.18;5.69;maize;1.84;low;sand;unconfined;2.89;76.3;129.19;47;73.82;13.39
20-3-2023;5.84;0.71;57.31;123.57;147.84;3.13;59.41;wheat;2.58;low;clay;confined;0.13;94.46;73.44;2;61.22;21.44
25-10-2021;5.8;0.97;51.99;150.95;92.77;3.08;77.63;maize;1.05;low;clay;unconfined;2.48;82.83;133.0;10;83.16;16.84
7-7-2023;5.27;1.48;61.21;148.37;123.83;8.18;43.17;wheat;2.26;low;sand;confined;4.91;63.97;96.26;17;53.93;23.81
23-8-2024;6.15;1.2;20.64;42.45;104.61;1.35;80.39;sugar beet;0.15;medium;clay;unconfined;1.42;102.79;81.99;58;82.17;2.67
4-9-2024;6.13;1.09;76.77;89.14;84.6;6.02;65.35;wheat;0.75;high;peat;unconfined;5.6;114.71;83.37;27;59.34;12.45
2-7-2024;6.0;0.88;5.13;141.64;59.66;3.35;59.02;grass;4.36;low;sand;confined;7.5;116.65;59.81;14;57.34;11.57
29-5-2023;5.88;0.83;54.19;141.36;84.0;8.54;45.11;grass;1.89;low;sand;unconfined;1.61;159.16;55.26;57;51.52;11.88
3-1-2021;5.29;1.42;1.81;175.62;107.33;4.45;51.84;grass;2.15;low;loess;confined;3.95;123.8;81.66;13;67.03;14.25
14-7-2021;5.79;1.06;24.19;173.18;123.21;4.27;41.05;grass;1.79;low;loess;confined;4.66;93.64;115.35;53;66.75;16.55
8-1-2023;5.83;0.37;71.22;61.47;104.89;8.14;55.93;potatoes;3.1;low;loess;unconfined;6.49;29.1;74.85;28;96.95;20.18
1-7-2022;5.6;0.8;56.63;175.93;125.98;6.75;55.06;maize;0.02;medium;clay;confined;6.6;80.26;49.17;33;67.6;24.21
7-1-2023;5.92;0.74;29.08;158.93;39.19;6.11;41.31;sugar beet;4.74;low;sand;unconfined;5.45;124.09;87.22;27;101.72;16.85
4-2-2023;6.2;0.84;29.62;181.17;134.67;6.61;11.06;sugar beet;2.77;low;loess;unconfined;0.51;74.33;83.95;58;65.18;11.63
10-12-2020;6.94;1.17;42.01;203.34;54.87;2.83;46.1;sugar beet;1.9;low;clay;unconfined;5.13;58.28;84.66;11;71.92;22.67
22-3-2023;6.09;0.97;50.28;142.86;139.34;6.48;29.64;maize;4.32;low;peat;confined;0.42;118.2;55.55;1;54.93;13.65
27-7-2023;6.13;0.98;65.03;212.28;120.1;4.6;27.58;wheat;2.48;medium;loess;unconfined;8.48;78.35;72.66;12;66.63;22.31
8-5-2024;5.96;1.39;30.88;105.53;25.19;5.72;36.2;sugar beet;0.46;low;loess;confined;7.4;152.41;114.51;37;35.95;22.07
27-10-2022;5.04;0.79;7.76;102.71;129.48;5.97;66.54;sugar beet;4.56;medium;loess;unconfined;4.59;107.92;77.62;37;50.73;15.01
4-3-2021;5.99;1.56;43.14;171.44;139.8;2.78;27.78;potatoes;1.93;low;loess;unconfined;5.65;142.64;71.02;52;80.97;17.66
11-9-2020;6.03;0.8;30.85;131.56;150.32;6.19;32.25;sugar beet;2.86;medium;peat;confined;4.07;101.5;66.89;59;108.32;2.61
15-1-2024;7.23;1.03;13.99;163.08;69.26;4.63;64.14;sugar beet;4.72;low;sand;unconfined;7.61;95.42;60.57;56;59.95;20.8
26-4-2023;5.9;0.92;45.95;249.65;107.18;2.52;34.69;wheat;1.48;high;loess;unconfined;9.57;76.05;72.63;1;82.67;26.56
14-4-2021;6.15;1.04;35.74;169.67;127.78;4.71;27.46;sugar beet;0.89;low;sand;unconfined;7.49;129.54;59.14;43;59.58;12.86
19-7-2020;5.98;1.13;46.13;160.61;129.45;5.04;66.18;sugar beet;4.33;low;peat;unconfined;4.53;69.14;116.39;10;62.58;17.66
2-4-2023;5.42;1.13;22.11;106.54;116.38;6.19;47.41;maize;2.61;low;clay;unconfined;1.37;63.47;86.87;3;75.17;8.36
16-5-2020;6.57;0.77;49.73;65.0;82.93;0.22;51.31;potatoes;3.48;medium;sand;unconfined;2.88;67.5;110.41;1;51.18;11.23
4-5-2023;6.38;0.66;13.66;146.37;139.52;5.78;45.52;maize;0.55;medium;sand;unconfined;5.73;121.04;106.99;25;82.98;15.6
17-12-2022;6.4;1.75;23.45;203.34;139.75;3.98;58.47;sugar beet;3.48;low;sand;unconfined;0.44;80.97;78.93;26;90.96;21.65
12-12-2022;5.55;0.85;35.14;133.85;93.83;6.62;63.71;potatoes;2.87;low;sand;unconfined;6.27;110.35;52.57;25;68.92;11.26
16-12-2020;6.7;1.21;74.84;170.07;68.66;5.0;47.54;wheat;1.64;low;loess;unconfined;3.14;149.05;83.49;20;69.69;23.92
3-12-2022;5.3;0.52;55.7;221.32;70.88;4.33;20.04;maize;4.25;low;clay;unconfined;2.06;102.72;67.04;29;28.5;12.13
17-11-2020;6.29;0.92;61.54;220.08;154.59;4.64;55.95;wheat;2.3;low;loess;unconfined;5.66;133.25;75.09;17;68.93;20.53
21-12-2022;7.1;0.96;68.34;171.44;138.03;5.67;43.2;sugar beet;2.04;medium;peat;unconfined;4.96;145.27;101.96;30;65.09;17.39
27-4-2023;5.5;1.14;112.06;158.51;99.2;6.82;67.15;sugar beet;0.92;low;clay;unconfined;4.17;82.41;95.11;11;50.62;16.68
29-3-2024;5.72;0.18;40.83;74.07;92.03;3.22;32.09;potatoes;1.27;low;loess;unconfined;2.94;110.81;79.04;28;84.54;12.68
2-6-2021;6.05;1.05;68.41;118.49;29.27;4.31;43.71;wheat;1.37;low;peat;confined;3.65;139.21;91.94;7;44.86;10.09
21-4-2021;5.75;0.66;60.25;135.96;96.62;7.94;20.36;sugar beet;2.03;medium;peat;unconfined;2.43;103.57;86.88;2;82.02;13.92
12-8-2021;5.22;1.1;59.92;107.38;52.36;4.28;65.66;wheat;2.5;low;peat;unconfined;9.62;55.13;77.68;18;65.87;9.83
7-9-2021;6.03;0.69;75.48;162.42;106.36;5.73;74.51;wheat;4.95;low;peat;unconfined;7.35;89.78;51.66;35;96.6;18.44
25-2-2024;5.47;0.74;31.61;245.58;147.41;2.53;40.24;potatoes;2.73;low;clay;unconfined;2.92;105.0;104.52;57;97.12;16.96
16-9-2024;6.24;0.92;30.03;225.89;60.78;1.57;46.12;potatoes;2.34;low;loess;confined;5.86;117.28;42.23;41;84.14;10.02
18-6-2022;5.54;0.68;46.4;162.19;109.54;2.92;33.81;sugar beet;3.2;low;clay;confined;2.65;46.3;73.15;6;93.02;22.68
10-7-2020;6.77;0.86;36.35;188.97;139.91;3.62;35.73;sugar beet;3.78;low;peat;unconfined;0.67;104.58;86.1;5;75.44;23.9
22-1-2023;5.61;0.64;46.37;113.57;108.81;7.08;63.87;wheat;4.9;low;loess;unconfined;3.33;88.46;91.55;14;98.51;16.91
5-11-2023;5.84;0.45;71.25;223.2;79.04;7.3;39.92;maize;4.99;low;clay;unconfined;1.43;62.95;121.11;42;64.37;30.47
17-4-2024;6.41;1.31;30.44;71.9;100.42;1.15;59.5;sugar beet;4.3;medium;clay;unconfined;7.53;109.1;84.94;39;81.54;15.58
7-2-2021;5.38;0.61;33.91;195.64;138.29;3.92;49.7;wheat;0.21;low;loess;confined;9.39;65.26;72.86;43;74.68;21.23
28-11-2021;6.11;0.95;43.49;174.78;110.5;6.4;65.01;wheat;0.21;low;peat;unconfined;2.91;95.86;33.23;57;78.13;12.06
24-8-2021;6.65;1.23;35.43;112.21;99.87;4.79;42.15;grass;1.62;low;sand;unconfined;9.26;92.99;93.19;24;59.04;5.8
10-9-2022;5.2;0.82;1.72;139.56;146.25;8.01;71.71;grass;4.34;low;peat;unconfined;7.85;132.96;71.05;27;62.7;12.29
20-9-2024;6.09;0.75;28.4;93.29;120.6;6.35;87.51;maize;3.81;low;loess;unconfined;7.41;75.96;67.22;31;70.17;12.06
22-11-2022;6.13;1.07;53.75;95.42;51.88;4.46;15.99;potatoes;3.15;high;clay;confined;0.7;110.1;125.81;0;71.15;2.09
22-3-2024;6.39;1.34;68.75;70.45;125.26;4.64;48.16;maize;0.96;high;sand;confined;3.39;86.35;133.93;54;79.09;10.27
29-4-2022;5.38;0.65;16.91;188.38;137.98;4.89;48.14;maize;4.86;medium;sand;unconfined;6.11;150.47;90.39;52;75.71;18.31
27-6-2024;5.34;0.95;16.81;210.27;50.51;3.31;35.69;sugar beet;4.49;low;clay;unconfined;8.89;96.83;70.71;34;58.9;6.54
3-1-2020;6.26;0.48;40.6;41.91;9.25;6.88;58.15;wheat;4.57;low;clay;confined;3.24;61.12;48.9;25;57.88;10.4
23-11-2020;6.15;0.88;0.0;241.92;58.32;6.48;72.41;maize;2.54;low;peat;unconfined;5.12;98.57;41.47;36;70.93;12.09
12-4-2022;6.13;1.01;31.1;149.4;95.9;5.91;10.52;potatoes;1.84;medium;peat;confined;6.4;90.03;66.25;50;68.75;13.03
17-7-2024;6.17;0.74;5.28;164.49;140.39;5.49;9.01;wheat;3.19;medium;sand;unconfined;1.72;86.74;61.29;38;30.57;9.26
1-2-2024;5.66;0.86;67.38;76.38;64.36;2.96;83.15;sugar beet;3.28;medium;loess;unconfined;4.66;83.67;113.42;22;71.94;15.87
3-12-2022;6.12;0.58;24.61;216.04;122.2;6.01;45.21;grass;4.64;low;peat;confined;6.34;4.02;89.78;18;76.23;21.32
12-3-2024;6.15;1.02;73.06;160.01;-15.7;5.26;51.79;maize;2.86;low;sand;unconfined;1.31;175.2;86.47;50;80.97;14.5
16-8-2021;5.64;1.32;62.27;206.94;107.21;9.0;28.63;wheat;4.39;medium;sand;confined;2.11;92.61;98.06;26;73.7;22.63
17-1-2024;6.93;0.67;27.07;211.04;83.73;2.41;50.89;grass;1.58;medium;peat;confined;1.01;109.76;82.2;9;69.12;13.88
20-9-2022;6.24;0.81;18.56;216.74;183.94;3.55;77.38;sugar beet;0.21;high;clay;unconfined;6.17;129.36;56.58;34;65.98;28.75
5-1-2023;5.4;1.15;36.13;117.59;24.32;1.83;59.93;potatoes;2.18;low;loess;unconfined;8.54;85.36;38.5;37;103.09;7.11
10-4-2020;6.33;1.36;37.91;139.6;99.42;4.56;53.85;sugar beet;1.0;low;loess;unconfined;4.2;115.52;108.95;45;61.93;14.49
26-7-2023;5.51;0.55;46.92;119.41;24.07;1.52;14.6;potatoes;3.89;low;clay;unconfined;5.77;66.77;82.68;56;68.16;15.5
3-6-2022;6.39;0.95;24.47;194.75;78.01;7.37;64.85;potatoes;4.02;low;clay;unconfined;9.43;99.79;116.59;41;63.0;18.84
18-5-2022;6.58;1.08;54.93;166.64;31.95;7.18;50.19;potatoes;3.92;medium;sand;confined;9.61;109.45;90.36;47;53.45;6.13
18-1-2024;5.59;0.97;45.31;203.46;192.03;4.68;37.84;sugar beet;2.31;low;peat;unconfined;5.85;101.26;83.77;7;78.93;19.53
25-4-2021;6.48;0.26;33.19;205.64;85.78;2.97;62.85;maize;4.46;low;sand;confined;6.15;84.14;119.52;57;53.59;17.09
25-1-2022;6.21;1.15;25.76;63.64;91.56;1.95;33.04;grass;2.23;high;peat;unconfined;5.33;84.2;105.39;10;73.04;3.31
6-12-2021;6.41;1.46;36.3;217.54;98.29;3.59;61.22;wheat;3.0;low;clay;unconfined;3.41;88.53;74.02;10;83.32;14.48
17-10-2023;6.95;1.03;23.66;197.54;54.71;6.25;74.34;maize;1.07;low;sand;unconfined;2.0;137.35;72.2;38;56.73;21.08
28-7-2020;5.88;0.69;41.17;131.54;142.21;3.43;53.08;maize;0.12;low;loess;unconfined;4.27;74.88;40.34;59;57.56;10.17
2-10-2024;5.62;0.85;41.71;167.49;125.61;8.82;41.52;wheat;3.02;medium;sand;confined;9.64;80.08;88.31;13;92.18;8.9
29-1-2024;5.56;1.53;45.23;143.82;136.72;7.98;38.56;wheat;3.27;medium;clay;unconfined;4.94;128.71;112.62;30;90.64;26.22
1-11-2023;5.59;1.27;75.32;180.8;51.28;5.0;57.65;grass;4.65;low;sand;unconfined;3.75;177.14;77.68;28;66.33;21.11
16-5-2021;5.96;1.19;37.35;131.43;145.41;4.08;41.36;maize;4.22;low;sand;confined;6.59;98.57;120.86;7;82.09;10.78
20-8-2021;6.17;1.11;60.09;173.95;140.79;3.86;97.33;grass;3.88;medium;peat;unconfined;6.03;125.28;129.74;52;71.44;26.33
10-7-2022;6.14;0.8;44.59;153.37;90.7;8.2;21.7;maize;3.5;low;sand;unconfined;4.65;84.27;76.65;50;25.41;13.81
1-1-2024;6.41;0.94;35.24;128.39;135.8;3.69;47.4;wheat;2.16;medium;loess;unconfined;6.08;177.48;88.27;17;102.5;14.8
13-12-2024;6.01;0.98;37.62;159.51;110.91;6.87;55.45;potatoes;2.44;high;peat;confined;6.78;131.81;91.02;15;67.36;11.51
22-9-2021;6.73;1.16;38.82;285.32;36.24;5.04;53.07;grass;3.9;medium;peat;unconfined;7.81;94.27;88.26;19;84.36;32.34
30-12-2020;5.87;1.45;45.6;115.72;92.69;6.43;38.78;grass;0.79;low;loess;confined;3.46;125.34;74.83;38;98.89;20.65
7-1-2020;7.36;1.34;20.81;137.5;80.74;3.36;74.65;potatoes;3.59;low;clay;unconfined;0.81;78.12;108.22;11;72.64;7.08
27-6-2023;6.31;0.57;10.69;116.59;103.42;4.33;63.34;maize;3.12;high;peat;unconfined;9.47;50.37;31.11;58;84.8;8.99
27-12-2024;5.57;1.07;53.09;121.84;140.85;4.95;64.8;potatoes;1.12;high;peat;unconfined;3.04;148.37;121.88;12;60.3;16.13
