date,electrical_conductivity_dS_m,pH,nitrate_groundwater_mg_L,ammonium_mg_L,chloride_mg_L,temperature,nitrate_input_mg_L,fertilizer_kg_ha,manure_kg_ha,crop_type,livestock_density_LU_ha,urbanization,soil_type,aquifer_type,permeability_m_day,groundwater_level_cm,precipitation_mm,drought_days,evaporation_mm,sunlight_hours,humidity
1994-05-25,,,0.052,0.168,40.101,9.3,29.1105,283.1551,115.3773,maize,2.3989,medium,loess,confined,1.7062,57.1881,484.0244,71,134.0887,1981.2388,74.1655
1995-05-11,,,0.028,0.168,40.31,9.3,26.3642,151.1199,138.2332,beets,0.1613,high,loess,confined,5.273,78.5203,853.8507,94,685.2252,1570.4428,43.317
1996-05-30,,,0.028,0.168,49.524,9.1,26.5064,264.8981,144.465,maize,0.5437,medium,sand,confined,5.9675,281.2915,943.7323,23,336.071,1282.6181,55.9834
1997-08-05,,,0.028,0.168,56.188,10.5,37.3818,277.2936,100.5129,potatoes,2.6194,low,sand,confined,7.2376,70.6049,1149.0481,32,586.6928,1024.0119,44.7714
1998-05-14,,,0.028,0.182,48.212,10.0,57.2281,276.0351,87.3153,maize,2.2553,low,loess,unconfined,0.5906,122.1547,1008.3436,50,865.1657,1173.2932,81.3514
1999-06-02,,,0.168,0.154,40.342,10.0,48.8751,257.7116,158.2971,grass,0.5289,high,peat,unconfined,1.8161,258.3526,873.4261,16,847.1013,1566.0772,68.4421
2000-07-18,,,0.042,0.168,38.144,9.8,36.2106,151.6498,186.5744,potatoes,1.8079,low,sand,unconfined,0.5835,123.2291,1118.5843,35,356.0462,1503.5029,72.7065
2000-10-24,,,,,,,65.0668,89.7269,184.6037,grass,1.804,medium,clay,unconfined,5.1215,71.5836,726.4621,42,728.4147,2397.6635,59.1462
2001-08-24,,,0.028,0.154,31.94,9.6,22.5544,133.4891,119.2917,grass,2.3473,high,sand,confined,8.5656,205.0015,603.5354,67,505.3997,1205.1951,78.681
2002-06-07,,,0.028,0.182,31.87,10.0,36.293,241.8221,34.2237,wheat,2.4589,medium,clay,confined,6.5421,190.4464,427.4857,98,288.5999,1097.9691,68.5393
2003-05-21,,,0.03,0.17,30.01,9.8,42.9726,108.2214,33.1922,beets,2.0546,low,clay,unconfined,5.385,222.4513,402.2517,50,613.7882,1186.89,47.9396
2004-08-16,,,0.15,0.38,30.4,10.7,51.0463,169.568,92.496,potatoes,2.1683,high,clay,unconfined,0.2022,173.7129,917.5251,0,137.2142,1289.7538,73.3153
2005-08-15,6.12,7.0,0.01,0.25,30.7,10.6,80.6658,191.3499,151.9136,potatoes,2.0334,low,loess,confined,1.4,298.7622,777.7332,45,850.5477,1890.5174,72.4504
2006-05-11,5.99,7.0,0.014,0.241,29.25,10.2,27.9706,200.9646,109.5219,wheat,0.5379,medium,sand,confined,5.9684,112.4434,1045.0234,44,589.1485,1495.0222,59.0526
2007-08-02,5.82,7.46,0.01,0.26,28.57,10.8,56.2811,283.9314,132.9252,grass,2.0852,high,peat,confined,2.4935,153.326,915.5689,50,795.4804,1672.9218,53.392
2008-05-22,5.45,7.24,0.014,0.241,24.65,11.0,63.3173,215.3733,171.7974,beets,1.4663,low,clay,confined,9.8065,127.3904,575.9458,16,839.1352,1315.7019,72.9938
2009-04-07,5.61,7.13,0.014,0.241,24.69,10.3,14.1805,246.5747,27.2604,beets,2.9356,low,sand,confined,4.0735,255.0954,925.1374,10,803.7729,2232.8059,64.5117
2010-04-26,5.79,6.8,0.014,0.241,23.61,10.4,64.679,195.4696,186.287,wheat,2.1556,high,sand,unconfined,3.0286,135.7951,853.6392,16,319.7519,1026.1041,62.9374
2011-01-23,5.4,7.31,0.014,0.241,23.9,10.0,25.3472,258.3951,79.5615,maize,1.185,high,clay,confined,5.5111,65.4009,1039.2322,74,883.6358,1545.0873,66.3196
2012-03-21,5.529999999999999,7.28,0.02,0.163,21.47,10.6,15.8546,115.9159,28.4217,beets,2.7392,high,clay,confined,1.2741,58.8891,914.472,56,596.4768,1578.5211,87.0666
2013-06-10,5.9,7.3,0.07,0.189,21.21,10.7,95.3997,102.4694,170.3771,maize,0.7681,medium,loess,unconfined,5.2571,238.8654,233.6302,65,324.6027,2105.4509,74.6381
2014-03-31,6.0,7.2,0.07,0.189,21.03,9.7,96.9069,281.58,188.1477,wheat,1.4555,medium,sand,unconfined,8.881,250.6302,789.8326,96,133.3562,2092.5909,68.1722
2015-05-04,6.2,7.27,0.088,0.18,19.94,10.3,82.7558,223.3702,158.352,grass,0.2845,low,loess,unconfined,2.4252,143.602,1050.6191,42,629.5505,2437.6465,73.0008
2017-05-02,6.1,7.43,0.07,0.176,19.1106,10.6,37.4152,217.8814,164.8128,maize,1.9233,low,clay,confined,2.4525,148.2106,849.9755,40,366.2887,2071.8262,73.3571
2018-04-10,6.5,7.66,0.07,0.177,20.5114,10.2,18.7905,166.8238,176.8355,potatoes,1.7198,low,sand,confined,0.511,93.0721,841.7295,18,485.945,2316.3133,51.2606
2019-04-15,5.661,7.36,0.07,0.202,19.306,10.2,71.581,144.1743,114.0254,maize,1.5629,medium,sand,unconfined,8.9196,142.8872,729.8388,73,119.8176,1827.1295,66.1827
2020-07-20,5.6,7.32,0.029,0.144,16.662,10.2,49.6137,188.9228,142.4833,grass,0.6993,medium,sand,unconfined,7.8688,118.6002,411.2271,99,191.0016,1636.0087,82.9705
2021-05-18,5.59,7.22,0.029,0.158,16.144,10.2,20.9834,80.1416,71.5613,maize,1.5338,high,sand,unconfined,4.2509,254.5401,802.6426,29,659.101,2155.1995,43.9581
2022-07-11,5.5,7.23,0.029,0.23,15.498,10.2,54.5659,163.6781,64.9461,wheat,1.4316,low,peat,confined,5.0479,145.0206,1073.2586,79,882.7108,1727.0795,76.2202
2023-07-18,5.58,7.24,0.029,0.146,17.057,10.5,13.095,163.8419,129.6097,maize,0.1633,medium,peat,confined,1.37,260.8369,901.1611,13,212.8626,2073.7328,58.4354
1979-11-12,,,0.1,0.09,24.0,,91.8388,184.5841,152.2294,potatoes,0.5709,medium,clay,unconfined,7.5833,91.8757,563.7996,18,717.0202,1471.4371,69.0494
1990-06-27,,,,,,,33.2902,208.6714,91.4853,maize,2.7155,medium,loess,unconfined,1.2247,158.9655,1034.6258,64,629.939,2103.3595,81.2374
1991-05-30,,,,,,,69.627,289.3296,92.0524,wheat,2.3879,low,peat,confined,5.0242,77.8509,957.8372,81,884.3121,1775.8319,66.1116
1992-07-14,,,,,,,38.054,213.0423,191.762,maize,0.4477,medium,peat,unconfined,0.3299,298.8058,409.3227,32,686.8219,1297.9355,53.643
1993-06-17,,,,,,,56.8061,270.9313,113.3229,beets,2.9209,low,sand,unconfined,3.93,200.3678,1145.9062,31,888.5157,2069.905,77.3418
1994-05-25,,,,,,,59.2039,189.076,197.5312,grass,1.4494,medium,loess,confined,3.7745,140.3808,1062.184,73,333.9194,1455.6667,74.5619
1995-05-11,,,,,,,26.6369,206.732,175.3117,potatoes,2.275,low,clay,unconfined,1.0071,173.325,296.8291,26,186.2833,1210.5402,46.6119
1996-05-30,,,,,,,97.2626,67.4592,135.1384,grass,1.6712,high,loess,unconfined,2.748,56.114,295.0057,73,823.8397,2384.1175,61.1144
1997-08-05,,,,,,,79.762,83.3159,21.6444,potatoes,2.3165,medium,loess,confined,3.5602,74.2138,1150.7947,52,784.6732,2200.4578,71.645
1998-05-14,,,,,,,94.5549,194.9176,73.2665,grass,2.0211,low,clay,confined,0.3506,245.5858,373.5678,72,785.1997,1150.5058,68.1376
1999-06-02,,,,,,,90.5345,148.9282,95.1759,potatoes,0.2888,medium,sand,confined,2.0976,151.0091,1169.9594,80,528.5891,1085.1966,78.0893
2000-07-18,,,,,,,63.811,249.7026,137.5067,maize,2.7493,low,sand,unconfined,7.866,110.3989,568.2502,48,361.4058,2327.8857,83.7763
2000-10-24,,,,,,,92.9687,185.7945,91.1942,grass,2.3285,low,peat,confined,7.0666,62.6739,235.7695,72,297.7098,1299.5883,54.9212
2001-08-24,,,,,,,17.9643,270.5728,169.0083,potatoes,0.7426,low,clay,unconfined,3.9168,244.4142,443.5904,15,955.5314,2251.1832,79.8371
2002-06-07,,,,,,,27.6385,293.0829,139.3229,maize,0.7564,low,peat,confined,6.5396,141.1205,869.9111,77,994.496,1648.3722,56.0769
2003-05-21,,,,,,,14.0705,86.9088,82.4888,potatoes,2.0913,high,loess,unconfined,8.7384,252.7073,1090.0935,24,651.8992,1769.3386,85.8001
1979-11-12,,,0.1,0.5,31.0,,39.2797,148.7069,161.1981,potatoes,2.1327,medium,loess,unconfined,7.5405,71.7748,729.6404,69,240.6665,1270.4518,42.4247
1980-10-13,4.294,7.5,0.2,0.24,21.0,,44.981,216.2453,74.5563,wheat,0.3525,medium,clay,confined,5.1069,129.8455,1125.093,34,963.5504,2494.3564,64.1701
1982-05-10,4.181,7.5,0.1,1.3,20.0,,34.4214,126.3722,31.3016,wheat,2.7246,low,peat,confined,9.5021,212.5108,1135.749,29,987.3318,1007.3678,74.2734
1984-05-24,5.424,7.42,0.1,0.37,38.0,,84.5864,116.7581,51.0601,grass,2.2661,high,peat,unconfined,4.5868,118.2359,592.6017,36,161.3995,2253.6399,75.8139
1985-07-02,6.045,7.52,0.3,0.39,48.7,,42.1078,253.4346,20.4933,maize,2.9537,low,loess,confined,6.9063,157.2893,489.2852,25,166.5764,1335.0611,50.3732
1986-08-11,6.192,7.5,0.3,0.01,47.3,,35.2841,295.0946,169.8231,beets,1.3549,low,sand,confined,6.0963,223.9778,231.8271,14,749.186,1345.2232,62.232
1987-08-13,6.441,7.4,0.3,0.27,49.1,,58.8426,243.4508,132.8795,potatoes,0.35,low,peat,unconfined,3.8824,173.7365,701.3154,49,790.925,2146.2695,71.6343
1988-06-28,6.757,7.51,0.28,0.3,56.0,,22.6832,180.9192,122.7025,grass,2.7265,low,loess,unconfined,7.3929,235.4315,813.413,10,901.7968,1463.911,71.3416
1989-08-29,6.734,7.48,0.28,0.37,51.5,,82.1977,160.6278,139.1687,wheat,2.4573,medium,clay,confined,6.6494,63.9149,261.2828,98,811.8165,2087.8779,57.411
1990-06-27,6.497,7.44,0.28,0.31,46.97,,16.7096,184.9119,137.6477,maize,0.1006,medium,sand,unconfined,0.2016,279.8494,752.1033,33,856.3967,1453.7113,86.0209
1991-05-30,6.045,7.45,0.03,0.27,38.54,,98.8198,165.7099,121.79,wheat,1.6371,low,sand,unconfined,0.5189,299.2528,1075.4997,14,517.2205,1481.641,46.3287
1992-07-14,5.458,7.35,0.08,0.24,29.18,,79.502,175.722,171.6338,potatoes,0.1217,high,loess,unconfined,8.8717,285.0734,1140.8415,94,240.6308,1962.6214,73.4207
1993-06-17,,,0.06,,21.887,9.3,27.8844,100.8633,99.3705,wheat,1.1194,medium,peat,confined,0.3735,108.6611,962.2664,86,864.8029,1300.9531,67.263
1994-05-25,,,0.088,0.28,25.606,9.6,10.497,275.9355,164.8657,wheat,2.6214,low,clay,confined,3.7918,286.4748,714.7637,22,581.7353,1994.5663,45.7588
1995-05-11,,,0.029,0.294,34.309,9.2,83.3915,238.6338,161.5941,maize,2.0541,medium,loess,unconfined,3.8914,102.384,396.6765,71,843.6874,1095.6372,43.2195
1996-05-30,,,0.028,0.294,33.323,8.9,73.6172,220.2444,55.9109,grass,2.5668,high,clay,unconfined,1.2721,175.759,686.9311,34,859.2218,1179.0716,81.7262
1997-08-05,,,,,,,75.6106,287.4812,101.6774,potatoes,1.7158,medium,peat,confined,5.3432,250.3326,454.9336,33,432.2972,2013.0696,61.7063
1998-05-14,,,0.028,0.266,25.347,9.9,79.4143,121.0986,170.2878,potatoes,2.3451,high,clay,confined,1.9206,218.0513,659.8718,51,164.6694,2019.8455,43.3559
1999-06-02,,,,,,,16.664,70.2899,169.5539,maize,1.5099,low,peat,confined,5.1987,172.365,274.0172,80,130.2498,1226.9286,86.3876
2000-07-18,,,,,,,42.2619,256.5347,24.3212,grass,1.5581,low,loess,confined,4.3661,120.149,866.5725,58,653.4079,1366.353,87.0053
2000-10-24,,,0.028,0.308,21.944,10.9,20.4282,299.6042,60.149,maize,1.8342,medium,clay,confined,3.1609,294.9488,298.27,86,261.288,2354.1192,58.4523
2001-08-24,,,,,,,87.6793,194.6081,96.2974,maize,0.5077,low,clay,confined,3.2784,224.7117,1116.2832,96,671.1839,2123.0203,80.792
2002-06-07,,,0.028,0.308,25.028,10.1,66.0968,64.7023,28.4878,wheat,1.966,medium,sand,unconfined,1.0039,99.76,788.4272,8,472.8909,1016.3743,63.6135
2003-05-21,,,,,,,39.7808,245.117,66.9124,grass,2.5815,low,clay,confined,9.0188,152.5395,1039.2809,13,377.5001,1394.5118,79.3042
2006-05-11,6.05,7.2,0.014,0.27603,21.0,10.3,15.7203,68.4373,66.494,potatoes,0.5626,medium,peat,unconfined,4.0868,152.1618,771.4322,80,415.2712,1948.8523,71.065
2010-04-26,5.34,7.33,0.014,0.241,18.01,10.6,37.9884,185.0035,58.6223,beets,1.1928,low,loess,unconfined,9.1086,275.3518,1174.9023,5,516.5207,1187.3872,72.3365
2014-03-31,5.0,7.5,0.07,0.214,19.35,10.1,39.2665,119.3831,91.3986,potatoes,2.7689,medium,loess,unconfined,1.5774,69.8382,948.7155,30,194.1234,2286.6771,69.617
2017-05-02,5.9,7.51,0.07,0.209,21.5956,10.3,75.6646,278.7567,166.3419,maize,1.0031,high,peat,unconfined,3.6362,131.2038,491.8273,77,621.1243,2282.1531,69.6135
2021-05-18,5.68,7.23,0.029,0.25,19.719,10.2,67.3802,162.8328,63.9405,beets,2.6381,high,sand,unconfined,9.3371,94.8367,545.1132,86,128.147,2444.6919,55.178
1979-11-12,,,0.1,0.66,45.0,,89.8491,274.6158,124.7721,maize,1.9595,medium,peat,confined,8.3471,287.2578,737.786,7,434.1848,1205.7238,72.2486
1980-10-13,9.266,7.2,0.2,0.53,38.0,,52.4993,124.7703,120.3641,beets,2.546,high,peat,confined,7.5838,193.3974,947.5379,79,147.0372,1514.7314,83.5903
1982-05-10,7.345000000000001,7.1,0.1,1.6,42.0,,20.7635,146.8406,167.2263,wheat,0.514,high,sand,confined,3.4775,219.6981,284.9022,54,195.7614,2409.5695,51.1279
1984-05-24,7.909999999999999,7.12,0.1,0.5,45.0,,74.192,286.7798,90.9199,maize,2.3824,low,clay,unconfined,0.4718,94.5809,696.6282,17,162.1465,1817.6095,47.3097
1985-07-02,7.797,7.29,0.3,0.5,45.0,,78.4707,100.3286,60.2424,beets,0.1861,high,peat,confined,2.3692,167.3601,637.5971,93,527.0311,1929.4235,84.9035
1986-08-11,7.537000000000001,7.28,0.3,0.01,46.2,,60.5149,194.6253,180.4737,potatoes,1.2443,high,loess,unconfined,9.1314,203.2993,1075.524,24,849.5824,1213.0754,47.9972
1987-08-13,7.062,7.13,0.3,0.48,45.0,,79.387,147.1276,169.9305,wheat,0.9114,low,clay,confined,6.4568,96.7884,838.9354,45,678.8167,2211.1314,88.9878
1988-06-28,6.644,7.28,0.28,0.43,45.7,,54.4416,243.5417,131.8707,maize,1.9593,low,clay,confined,0.4132,273.0707,814.7412,37,266.2775,1355.2326,71.134
1989-08-29,6.689,7.12,0.28,0.5,39.2,,57.046,82.3241,36.7831,grass,2.3175,medium,peat,unconfined,1.4938,50.7767,976.4857,64,693.2265,1089.0686,66.2382
1990-06-27,7.119,7.11,0.28,0.49,40.58,,48.4787,159.3037,22.9012,wheat,1.1007,high,sand,unconfined,6.2121,92.5407,295.0811,61,196.1003,1447.1539,75.2439
1991-06-04,6.757,7.23,0.04,0.43,42.21,,12.2877,224.7332,52.8724,beets,2.5276,medium,clay,confined,3.8169,287.3574,222.537,19,808.8742,1623.6686,53.8911
1992-07-14,7.412000000000001,7.06,0.06,0.45,45.09,,19.7102,151.7541,55.3949,grass,1.7,low,loess,confined,9.1693,191.5589,1193.494,3,644.9816,1518.0434,83.4359
1993-06-17,,,0.045,,44.614,10.0,12.8286,64.6329,44.5245,grass,2.2836,medium,sand,confined,2.2168,148.915,380.1238,46,412.3312,1697.1618,81.6415
1994-05-24,,,0.042,0.518,47.992,10.0,67.2769,226.2781,67.1926,grass,2.2029,low,clay,unconfined,1.9631,190.7854,646.0924,74,826.1047,1413.9411,52.543
1995-05-11,,,0.028,0.518,43.908,10.0,38.292,175.7996,80.8199,beets,0.5014,low,sand,confined,3.919,216.3129,715.2253,4,691.773,1068.8416,50.7823
1996-05-30,,,0.154,0.532,47.042,9.7,55.7714,52.8272,155.7989,wheat,2.2212,medium,clay,confined,8.5483,173.7694,1028.0366,15,712.5091,2489.8307,49.3831
1997-08-05,,,0.056,0.518,46.546,10.5,91.681,203.164,147.714,grass,2.4963,low,clay,confined,3.1335,171.3205,633.0484,67,874.3542,2387.4212,49.5677
1998-05-13,,,0.028,0.504,45.872,11.6,32.4363,279.9703,38.7883,grass,0.2016,medium,clay,unconfined,2.4506,148.1849,875.1142,90,203.2229,1566.9805,44.9688
1999-06-02,,,0.028,0.518,43.533,10.4,46.9345,77.7565,195.8793,beets,0.5709,high,clay,unconfined,6.934,78.4596,257.45,0,280.8061,1378.7568,62.2435
2000-07-05,,,0.294,0.56,46.475,10.5,77.9996,197.6678,155.3851,maize,1.6092,medium,clay,unconfined,0.4375,88.8089,263.3737,96,189.4348,1981.4798,42.577
2001-08-23,,,0.028,0.49,40.59,10.3,30.5918,232.1672,49.418,maize,0.2706,high,loess,confined,4.4424,110.6053,659.1475,42,972.0904,2292.4869,41.2042
2002-06-07,,,0.028,0.476,39.598,10.5,16.9282,67.6934,42.4094,wheat,1.1617,high,peat,unconfined,9.8547,248.5027,1150.0617,75,157.4019,2243.0535,42.1677
2003-05-21,,,0.03,0.5,38.68,10.2,36.0776,55.6539,35.7584,grass,2.5342,low,peat,unconfined,3.3253,148.5903,1143.4942,42,234.937,2116.6251,51.0802
2004-08-16,,,0.01,0.71,39.4,11.1,24.5099,166.049,151.722,potatoes,0.393,medium,loess,unconfined,6.0139,242.3728,799.0076,59,706.7764,2453.784,58.8316
2005-08-15,6.92,7.0,0.01,0.56,37.9,10.6,93.6728,247.7967,62.5316,maize,0.5058,medium,loess,unconfined,4.7484,229.0679,422.2373,38,985.2109,1438.6594,87.017
2006-05-11,7.13,7.0,0.014,0.51388,37.89,10.1,82.7308,90.1799,33.1342,grass,0.4458,low,peat,confined,8.9006,233.6256,930.0761,14,875.27,1313.5444,44.9633
2007-08-01,7.13,7.34,0.01,0.58,37.43,11.3,67.0063,259.1593,95.929,wheat,1.6801,high,peat,unconfined,0.5833,227.3318,397.4558,16,442.1583,1978.3424,54.1297
2008-05-22,6.659999999999999,7.1,0.903,0.498,42.01,11.5,88.4315,214.1443,147.5657,potatoes,0.9819,high,loess,confined,7.8771,57.2718,817.8518,76,485.2689,1758.5874,59.8062
2009-04-07,6.95,7.07,0.014,0.482,35.72,11.6,82.3305,133.0433,74.8202,maize,2.4674,high,peat,confined,4.2567,271.6209,528.3877,24,162.9912,1516.2423,46.4931
2010-04-26,7.83,7.12,0.014,0.498,37.55,10.8,26.7913,178.9564,106.8762,maize,1.7883,low,clay,unconfined,0.2895,134.2233,396.2668,62,865.6195,1363.418,60.362
2011-01-23,6.85,7.22,0.014,0.482,35.31,10.6,90.3303,291.3937,54.6815,grass,2.043,high,peat,unconfined,6.121,232.3328,358.3866,14,439.0217,2237.8616,61.1194
2012-03-21,7.659999999999999,7.19,0.02,0.49,38.55,11.1,58.5408,104.1092,97.2467,grass,0.9919,medium,clay,unconfined,6.174,145.4936,406.8573,10,932.1022,1191.5446,85.3181
2013-06-06,7.4,7.5,0.07,0.473,37.18,11.0,82.6696,174.8838,84.6096,potatoes,1.5262,medium,peat,unconfined,6.0536,196.3339,697.0493,23,510.4425,1292.2719,79.7554
2014-04-09,7.7,7.2,0.07,0.478,38.31,10.2,90.6482,206.1216,98.1053,beets,1.1749,high,sand,confined,8.1917,188.5717,237.3693,61,788.0662,1217.3312,58.6977
2015-06-03,7.4,6.99,0.084,0.511,37.7,10.8,38.6203,84.5037,103.8281,wheat,1.5421,medium,peat,confined,4.4568,287.8106,417.6326,37,671.3391,2000.259,57.28
2017-08-30,7.8,7.28,0.07,0.522,38.4877,10.3,19.9047,60.8805,36.6138,grass,2.096,low,clay,confined,6.4142,269.6399,1060.4111,78,205.6131,2365.7679,72.8663
2018-04-10,8.3,7.45,0.07,0.567,38.8103,10.5,30.5142,53.365,36.8063,grass,1.4074,high,sand,unconfined,0.3261,271.6802,829.5634,4,818.1522,1085.473,42.4327
2019-04-08,7.6812,7.02,0.07,0.625,38.359,11.2,48.4397,131.1732,66.9099,maize,0.2934,medium,clay,confined,7.448,298.3681,1082.6696,28,404.1604,1720.3715,63.2701
2020-05-28,7.890000000000001,7.0,0.029,0.518,36.161,10.9,83.6213,68.4868,40.8365,potatoes,1.1755,medium,clay,unconfined,0.6192,195.9283,882.3064,8,445.5381,2063.4972,67.2365
2021-05-11,7.75,7.07,0.077,0.514,35.648,11.0,87.4658,250.9425,65.5012,beets,2.6767,low,peat,confined,8.6856,218.9163,957.2553,45,821.126,1467.3403,83.1712
2022-07-11,8.209999999999999,7.07,0.029,0.615,35.518,10.9,10.6257,299.3299,24.4179,beets,2.4873,low,loess,confined,6.439,231.1717,767.3594,70,974.3635,1116.5559,77.1181
2023-07-18,8.25,7.06,0.029,0.515,38.278,11.2,55.9673,65.326,83.1331,wheat,2.5155,low,loess,unconfined,4.2193,150.1531,631.4439,28,304.8714,1541.3897,45.608
1979-11-12,,,0.1,0.73,46.0,,47.567,158.1816,58.4138,wheat,0.6252,medium,clay,confined,6.7905,121.6426,608.6531,24,683.1171,2272.5996,40.0695
1990-06-27,,,,,,,29.9897,56.433,180.5863,grass,0.3302,high,sand,confined,2.3073,247.5656,1035.0265,16,859.4098,1707.2557,61.0132
1991-06-04,,,,,,,20.7879,83.4977,174.4684,potatoes,2.4585,high,clay,unconfined,5.4281,165.5036,849.2338,55,220.295,1106.765,40.7758
1992-07-14,,,,,,,40.3854,130.7306,74.0754,maize,2.0313,medium,loess,confined,7.3481,51.2872,622.779,53,624.2562,1056.0883,74.8447
1993-06-17,,,,,,,94.8619,148.4246,105.5873,wheat,1.574,high,sand,confined,0.9514,134.5279,804.8383,80,187.0985,1555.4819,59.3072
1994-05-24,,,,,,,39.0883,284.9457,192.0426,beets,2.0928,medium,clay,unconfined,0.8924,107.2209,1003.1261,73,428.1451,1386.6939,83.6105
1995-05-11,,,,,,,56.6912,148.9592,114.3373,grass,2.7996,high,sand,confined,8.9759,216.9427,875.0314,15,321.8751,1133.0529,88.4151
1996-05-30,,,,,,,73.2717,174.0694,172.718,grass,0.4744,medium,sand,confined,8.5007,247.1035,508.6945,94,893.4123,1858.1993,49.1498
1997-08-05,,,,,,,42.7267,111.3958,168.7475,maize,0.5916,medium,clay,unconfined,3.4369,166.8326,885.5548,10,469.6442,1325.1947,66.9254
1998-05-13,,,,,,,97.4604,50.0313,189.432,potatoes,1.8106,medium,sand,confined,6.8567,195.5257,741.2155,58,358.8799,2145.7949,85.9147
1999-06-02,,,,,,,96.6203,274.8336,75.0261,beets,2.1497,medium,peat,unconfined,6.0494,51.5974,1032.5444,25,790.6169,1629.9734,61.8985
2000-07-05,,,,,,,32.6604,70.4287,27.8202,grass,1.9664,medium,peat,confined,7.2346,170.945,1111.9279,64,431.3553,1890.1959,40.361
2001-08-23,,,,,,,54.7524,291.0622,38.7117,grass,0.8364,low,loess,unconfined,3.1808,134.7935,1121.945,61,224.0646,2101.9676,56.3909
2002-06-07,,,,,,,37.079,82.711,122.8336,wheat,1.9044,high,peat,unconfined,4.6996,278.657,1090.4805,12,209.2725,1946.5146,52.6939
2003-05-21,,,,,,,35.6356,201.2196,115.45,beets,1.7247,low,sand,confined,2.9825,296.1416,413.2916,62,555.371,2323.6934,47.574
1979-11-12,,,0.1,0.54,37.0,,13.3198,299.8526,73.7215,maize,0.17,high,peat,confined,7.8624,63.7944,363.0467,57,831.5781,2269.3085,61.508
1980-10-13,6.441,7.2,0.2,0.37,42.0,,64.8608,84.6161,64.7684,grass,1.9048,medium,sand,unconfined,2.2676,134.3955,353.918,67,370.8706,1712.0405,84.4102
1982-05-10,5.989,7.2,0.1,1.2,38.0,,55.2411,155.9858,147.6887,beets,1.4083,medium,peat,unconfined,9.0282,101.3593,809.418,1,996.8542,2213.0934,73.1454
1984-05-24,5.989,7.21,0.1,0.44,46.0,,14.6331,245.1059,81.2905,potatoes,2.5746,high,clay,unconfined,8.5834,144.3934,238.9567,84,741.0137,1249.257,77.1077
1985-07-02,6.1579999999999995,7.43,0.3,0.42,47.6,,35.0782,58.0475,128.7113,beets,2.0005,high,loess,unconfined,7.4437,245.0572,531.7837,70,607.5652,1697.8258,70.7992
1986-08-11,5.965999999999999,7.27,0.3,0.01,45.2,,91.7439,222.4457,148.2128,potatoes,1.6855,high,loess,confined,9.7153,145.8311,1098.3111,47,914.164,1158.7203,64.4569
